gender,SeniorCitizen,Partner,Dependents,tenure,PhoneService,MultipleLines,OnlineSecurity,OnlineBackup,DeviceProtection,TechSupport,StreamingTV,StreamingMovies,PaperlessBilling,MonthlyCharges,TotalCharges,avg_charge_per_month,InternetService_Fiber_optic,InternetService_No,Contract_One_year,Contract_Two_year,PaymentMethod_Credit_card_automatic,PaymentMethod_Electronic_check,PaymentMethod_Mailed_check,tenure_group_1_2_thn,tenure_group_2_4_thn,tenure_group_4_5_thn,tenure_group_5_thn_plus,Churn
1,1,0,0,0.2678499562741845,1,1,0,0,0,0,1,1,1,1.023351780376345,0.6454744947510819,1.0424928347246614,1,0,0,0,0,0,0,0,1,0,0,1
0,0,0,1,-0.8742327987951762,0,0,1,0,0,1,0,0,1,-0.959780946698973,-0.8296146787751496,-0.9389527762819354,0,0,1,0,0,0,1,0,0,0,0,0
0,1,1,0,-0.2216140816126844,1,1,0,1,1,1,1,1,0,0.6307181196466676,0.008735395684067358,0.6837952667471722,0,0,0,0,0,1,0,0,1,0,0,0
0,0,0,0,-1.2413308272103278,1,0,0,0,0,0,0,0,1,-1.4755285518947352,-0.9917824170197769,-1.595171462971316,0,1,0,0,0,0,1,0,0,0,0,0
1,0,0,0,-1.2005421573864221,1,0,0,0,1,1,1,1,1,1.124837599463253,-0.8774959120590307,1.0921213911901622,1,0,0,0,0,1,0,0,0,0,0,1
0,0,1,0,1.613876060463074,1,0,0,0,0,0,0,0,0,-1.4771922538469795,-0.3463416344371972,-1.4604615873683089,0,1,0,1,1,0,0,0,0,0,1,0
0,0,1,1,1.613876060463074,1,1,0,1,1,1,1,1,1,1.4742150094345756,2.382471157726868,1.397698534258867,1,0,0,1,0,0,0,0,0,0,1,0
1,0,1,1,1.5322987208152625,1,1,1,1,0,0,1,1,1,1.3694017864431787,2.3132971685677775,1.4245944783268107,1,0,0,0,0,1,0,0,0,0,1,0
1,0,0,0,0.6349479846893362,1,0,0,0,0,0,0,0,0,-1.4888381675126903,-0.5745630611863434,-1.4732697277703373,0,1,0,1,1,0,0,0,1,0,0,0
0,0,1,1,1.613876060463074,1,1,1,1,0,0,1,0,1,1.0050510589016561,2.0008715720417456,0.9980109040313209,1,0,0,1,0,1,0,0,0,0,1,0
0,0,0,0,-0.8742327987951762,1,0,1,0,0,0,0,0,0,-0.5438554586378745,-0.7863699485765823,-0.6424793200365955,0,0,0,0,1,0,0,0,0,0,0,1
0,0,1,1,0.7573139941610534,1,0,1,1,0,1,0,1,1,0.16155416911374865,0.5590949040953054,0.16312810186870882,0,0,1,0,1,0,0,0,0,1,0,0
1,0,0,0,-1.2413308272103278,1,0,0,0,0,0,0,0,0,-1.4688737440857575,-0.9871239399861914,-1.419516966029209,0,1,0,0,0,0,1,0,0,0,0,0
1,0,0,0,1.4915100509913568,1,1,1,1,1,0,1,1,1,1.50249794262273,2.259109412129938,1.4172046931601323,1,0,0,1,1,0,0,0,0,0,1,0
0,0,1,0,1.5730873906391682,0,0,1,1,1,1,1,1,0,0.06339575393132932,1.0542338804999376,0.03690294676436149,0,0,1,0,0,0,0,0,0,0,1,0
0,1,1,1,-0.1400367419648729,0,0,0,1,1,0,0,0,1,-0.9730905623169281,-0.5560170488450878,-0.9803807236739418,0,0,0,0,0,0,1,0,1,0,0,0
1,0,1,0,0.0639066071546558,1,1,0,1,0,0,0,1,0,0.797088314871107,0.31199785578082917,0.7726063161475787,1,0,0,0,0,0,1,0,1,0,0,0
0,0,0,0,-0.915021468619082,1,0,0,1,0,0,0,0,0,-0.45567925516892144,-0.7875785157315219,-0.5006450928745083,0,0,0,0,0,1,0,0,0,0,0,0
0,0,1,1,-0.7926554591473648,1,0,0,0,0,0,0,0,0,-1.4655463401812687,-0.886856814022745,-1.4576306776298549,0,1,0,1,0,0,1,1,0,0,0,0
0,1,0,0,-1.2821194970342338,1,1,0,0,0,0,0,0,1,0.3179421526247218,-0.9738297012818554,0.3154854707480168,1,0,0,0,0,0,1,0,0,0,0,1
0,0,0,0,0.512581975217619,1,1,0,0,1,0,0,1,1,0.8120616324413066,0.8358128346799383,0.9355421624694412,1,0,0,0,1,0,0,0,1,0,0,0
1,1,0,0,-0.9965988082668935,1,0,1,0,0,1,1,1,0,1.1780760619350734,-0.6407485933804922,1.2962921252537671,1,0,0,0,1,0,0,0,0,0,0,1
0,0,1,0,1.1652006924001108,1,1,0,0,0,0,0,0,0,-1.3174768664315177,-0.32320306690717104,-1.3071589395286594,0,1,0,1,0,0,0,0,0,0,1,0
1,0,1,1,-0.8742327987951762,1,0,0,0,0,0,0,0,0,-1.5054751870351342,-0.9073365338119038,-1.4717915032838498,0,1,0,1,0,0,1,0,0,0,0,0
0,0,1,0,1.2467780320479223,1,1,0,1,1,1,1,1,1,1.459241691864376,2.013418696504847,1.4630264617772615,1,0,0,0,0,1,0,0,0,0,1,0
0,0,0,0,0.349427295921996,1,0,0,0,0,1,0,0,0,-0.4939444000705427,-0.11482411544730649,-0.5117801167832868,0,0,1,0,0,0,0,0,1,0,0,0
0,0,0,0,-0.9558101384429878,1,1,0,0,0,0,0,0,1,0.3428976819083877,-0.7279851680188621,0.1821795422510718,1,0,0,0,1,0,0,0,0,0,0,0
0,0,0,0,-0.2216140816126844,1,0,1,1,0,0,0,0,1,-0.2726720404220381,-0.28011215434650516,-0.12297564950160292,0,0,0,0,0,0,1,0,1,0,0,0
1,0,0,0,-1.0373874780907992,1,1,0,1,0,0,1,1,1,1.1614390424126293,-0.7106696967808179,1.0356215619850642,1,0,0,0,0,1,0,0,0,0,0,1
0,0,0,0,-1.2413308272103278,1,1,0,1,0,0,0,0,0,0.4876397517536498,-0.9398579772539158,0.3627133307749039,1,0,0,0,0,1,0,0,0,0,0,0
1,0,0,0,-0.46634610055611886,1,0,0,0,0,0,0,0,1,-1.4821833597037126,-0.8207811515699543,-1.484854757344602,0,1,1,0,0,0,1,1,0,0,0,0
1,0,0,1,0.9612573432805821,1,1,0,0,0,0,0,0,1,-1.3341138859539616,-0.38064296768921113,-1.309081894838518,0,1,0,1,0,0,1,0,0,1,0,0
0,0,0,1,0.4310046355698075,1,0,1,1,0,0,0,1,1,-0.03143525734660095,0.19632699207897042,-0.04237491946795616,0,0,0,0,0,1,0,0,1,0,0,0
0,1,0,0,0.3086386260980903,1,0,0,0,0,0,1,1,1,0.8869282202923043,0.6079210171548666,0.8918310748656091,1,0,0,0,0,1,0,0,1,0,0,0
0,1,0,0,-1.1597534875625164,1,1,0,0,1,0,0,1,1,0.797088314871107,-0.8428649695829422,0.9340047253106714,1,0,0,0,0,1,0,0,0,0,0,1
1,0,1,1,-0.7518667893234591,1,0,1,1,0,0,1,0,1,0.018475801220730868,-0.5944934322687117,0.0676279797798417,0,0,0,0,0,1,0,1,0,0,0,1
1,0,0,0,1.3283553716957337,1,1,0,0,0,0,0,0,0,-1.3025035488613181,-0.27932109220872653,-1.308235125803912,0,1,0,1,0,0,1,0,0,0,1,0
0,0,0,0,-1.2005421573864221,1,1,0,0,0,0,0,0,1,0.33457917214716576,-0.913203578000429,0.19451586436335805,1,0,0,0,0,1,0,0,0,0,0,0
0,1,1,0,0.3902159657459017,1,0,1,0,0,0,0,0,1,0.3079599409112555,0.41270446070970823,0.3963686061324101,1,0,0,0,1,0,0,0,1,0,0,1
0,0,0,0,-0.18082541178877864,1,0,1,0,0,1,0,0,0,-0.3525297341297692,-0.3269825860098914,-0.3216763601410409,0,0,1,0,0,0,1,0,1,0,0,0
0,0,0,0,0.349427295921996,1,0,0,0,0,0,0,0,1,-1.4988203792261565,-0.6503731827234659,-1.4968356619910708,0,1,0,1,0,0,1,0,1,0,0,0
0,1,0,0,-0.017670732493155674,1,0,0,0,0,0,1,1,0,0.8669637968653718,0.2670391576170747,0.8494399276967383,1,0,0,0,0,1,0,0,1,0,0,0
1,0,0,1,1.450721381167451,1,1,1,1,0,1,1,1,1,0.7188943231156206,1.5787959736402823,0.7152164243192404,0,0,0,1,0,0,0,0,0,0,1,0
1,0,1,1,1.0836233527522994,1,1,0,0,1,0,1,1,1,1.151456830699163,1.569566915366198,1.1407863562847724,1,0,0,1,1,0,0,0,0,1,0,0
1,0,1,0,1.1652006924001108,1,1,0,1,1,1,1,1,1,1.637257800754526,2.1278809930517655,1.7230577108591094,1,0,0,0,0,1,0,0,0,0,1,0
0,0,0,0,-1.078176147914705,1,0,0,0,1,1,0,1,1,0.8103979304890623,-0.792500680144367,0.5383678277170107,1,0,0,0,0,1,0,0,0,0,0,0
0,0,1,0,0.023117937330750068,1,0,1,0,1,1,1,1,1,1.2928714966399366,0.4705618665089093,1.223586077580796,1,0,1,0,0,1,0,0,1,0,0,1
0,0,1,0,-0.7518667893234591,1,1,1,0,0,0,1,0,1,-0.006479728062935041,-0.5929992037862407,0.07567683813028832,0,0,0,0,0,0,0,1,0,0,0,1
1,0,1,0,1.124412022576205,1,1,0,0,1,0,1,1,0,1.2063589951232283,1.6599457646074107,1.1995026308302423,1,0,0,1,1,0,0,0,0,1,0,0
1,0,1,0,1.613876060463074,1,1,0,1,0,0,1,1,1,1.1481294267946744,2.1953629881939407,1.201721327568348,1,0,0,1,0,1,0,0,0,0,1,0
0,0,0,0,-1.2413308272103278,1,0,0,1,0,0,1,0,1,-0.19614175061879605,-0.9563823863541814,-0.2603629980008714,0,0,0,0,0,1,0,0,0,0,0,0
1,0,0,0,-0.9965988082668935,1,0,0,0,0,0,0,0,1,-0.6569871913904932,-0.8138813318126626,-0.3357618622543232,0,0,0,0,0,0,1,0,0,0,0,1
0,0,1,1,0.6349479846893362,1,0,0,0,0,0,0,0,0,-1.4938292733694234,-0.595240546509947,-1.5057561431835689,0,1,0,1,0,0,1,0,1,0,0,0
0,0,1,0,1.4915100509913568,1,0,0,1,0,0,0,1,1,-0.11462035495882066,0.8090265917368217,-0.16764845254763067,0,0,0,1,1,0,0,0,0,0,1,0
1,1,1,0,1.613876060463074,1,0,1,1,0,1,0,0,1,0.6623284567393112,1.692577077790781,0.6751030696369608,1,0,0,1,1,0,0,0,0,0,1,0
1,0,1,1,-1.1597534875625164,1,1,0,0,1,0,1,1,0,1.2063589951232283,-0.8369539774978738,1.0454459037951684,1,0,0,0,0,1,0,0,0,0,0,1
0,0,0,0,-1.2821194970342338,1,0,0,0,0,0,0,0,0,0.2064741218243471,-0.9753019558160546,0.20445857173743948,1,0,0,0,0,0,1,0,0,0,0,1
0,0,0,0,1.450721381167451,0,0,1,0,1,1,0,0,0,-0.8649499354210425,0.18848229254599844,-0.8266586694687796,0,0,0,1,0,0,1,0,0,0,1,0
1,1,0,0,-0.7110781194995532,1,1,0,0,0,0,0,0,1,0.3096236428634998,-0.5082237113542932,0.3533782332959052,1,0,0,0,1,0,0,1,0,0,0,1
1,0,0,0,0.18627261662637304,1,0,1,1,1,1,0,0,0,0.023466907077463767,0.010317519959624858,-0.07940124509557221,0,0,0,1,0,0,0,0,1,0,0,0
0,0,1,1,1.287566701871828,1,0,0,0,0,0,0,0,0,-1.500484081178401,-0.41911935111283477,-1.4597797524008151,0,1,1,0,0,0,0,0,0,0,1,0
0,0,1,1,0.5533706450415247,1,1,0,0,0,0,0,0,0,-1.3291227800972283,-0.49416038446045024,-1.3119484000183126,0,1,1,0,0,0,1,0,1,0,0,0
1,0,0,1,-0.09924807214096716,1,0,0,1,1,0,1,0,0,-0.013134535871912711,-0.15837648092167655,-0.019859954074477465,0,0,1,0,1,0,0,0,1,0,0,0
0,1,1,0,-0.5071347703800245,1,1,0,0,1,0,1,0,0,0.8619726910086385,-0.14912544869932046,1.0810739385522938,1,0,0,0,0,1,0,1,0,0,0,1
1,0,0,0,-1.2005421573864221,1,0,0,0,0,1,1,1,1,0.14824455349579332,-0.9224546102227852,-0.03803301366377087,0,0,0,0,0,1,0,0,0,0,0,1
1,0,1,0,1.5322987208152625,1,1,0,1,1,1,1,0,0,0.3728443170487865,1.3069782335202227,0.3404606047471974,0,0,0,1,1,0,0,0,0,0,1,0
0,0,0,0,1.613876060463074,1,1,1,0,0,1,0,0,1,0.6590010528348226,1.7116944127870988,0.6951265775430968,1,0,0,1,0,0,0,0,0,0,1,0
0,0,0,0,-1.1189648177386107,1,1,0,0,0,0,0,0,0,0.35454359557409826,-0.8247584362071193,0.5899041942726664,1,0,0,0,0,1,0,0,0,0,0,1
0,0,0,0,0.5533706450415247,1,1,0,0,0,0,1,1,0,1.0366613959942999,0.9269387981623868,1.0178152640998044,1,0,0,0,0,0,0,0,1,0,0,1
1,1,1,0,1.613876060463074,1,1,0,0,1,0,1,1,1,0.2846681135798339,1.3354344965319833,0.30103172021347213,0,0,0,1,1,0,0,0,0,0,1,0
1,0,1,1,1.613876060463074,1,0,0,1,1,0,1,1,1,0.34955248971736536,1.4019056900536633,0.3706536873583717,0,0,0,1,0,0,0,0,0,0,1,0
1,0,1,0,1.613876060463074,1,1,1,1,1,1,1,1,1,1.7603717452206111,2.810238008730683,1.845741785303415,1,0,1,0,0,0,0,0,0,0,1,1
1,0,0,1,-0.46634610055611886,1,0,0,0,0,0,0,0,0,-1.5071388889873785,-0.8320757609815721,-1.5254146906007757,0,1,0,1,0,0,1,1,0,0,0,0
0,1,0,0,-0.7110781194995532,1,1,0,1,0,0,0,1,0,0.8303623539159949,-0.3803133584651367,0.9964504513462225,1,0,0,0,0,1,0,1,0,0,0,1
1,0,0,1,-1.078176147914705,1,1,0,0,0,0,0,0,0,-1.2825391254343852,-0.925662806670443,-1.1353212469200458,0,1,0,0,0,0,1,0,0,0,0,0
1,0,0,0,-1.1597534875625164,1,1,0,1,0,0,0,0,0,0.4510383088042733,-0.8614988777172843,0.5826957314264577,1,0,0,0,0,1,0,0,0,0,0,1
0,1,1,0,1.3691440415196396,1,1,0,1,1,0,1,0,1,0.19815561206312515,1.076075985081938,0.22768333012386782,0,0,1,0,0,0,0,0,0,0,1,0
0,0,1,1,0.5533706450415247,1,0,0,0,0,0,0,0,1,-1.5187848026530892,-0.6267511883314639,-1.529319038769066,0,1,0,1,0,0,1,0,1,0,0,0
0,0,0,0,-0.7518667893234591,1,0,0,0,1,0,0,0,0,0.3478887877651206,-0.5556654656727419,0.2767799313274851,1,0,0,0,0,1,0,1,0,0,0,1
0,0,1,1,0.7573139941610534,0,0,1,0,0,1,0,0,0,-1.0213379189320153,-0.2233973938574289,-0.99393009940921,0,0,0,1,0,0,0,0,0,1,0,0
0,0,1,1,1.4915100509913568,1,0,0,0,0,0,0,0,0,-1.5038114850828896,-0.39264074344552097,-1.4809984415790851,0,1,0,1,0,0,0,0,0,0,1,0
0,0,1,0,0.7573139941610534,0,0,0,1,0,0,1,1,1,-0.5072540156884978,0.11559470612900272,-0.49266818221981235,0,0,0,0,0,1,0,0,0,1,0,0
1,0,1,1,1.613876060463074,1,0,1,0,1,1,1,1,1,1.3311366415415578,2.315714302877657,1.327777365271692,1,0,0,1,1,0,0,0,0,0,1,0
0,0,0,0,-1.2821194970342338,1,0,0,0,0,0,0,0,1,0.1781911886361926,-0.9756755129366723,0.17628756751087535,1,0,0,0,0,1,0,0,0,0,0,0
0,0,1,0,1.5730873906391682,1,1,0,0,0,0,0,0,1,-1.3524146074286498,-0.24495383711189764,-1.3430328062525305,0,1,0,1,1,0,0,0,0,0,1,0
1,0,0,0,-0.8334441289712705,1,0,0,0,0,0,0,0,0,-1.492165571417179,-0.8892080264878094,-1.4145456123421685,0,1,1,0,1,0,0,0,0,0,0,0
0,0,0,0,0.7165253243371477,1,0,0,0,1,1,0,1,1,0.825371248059262,0.8851882964462904,0.70126251686238,1,0,0,1,0,0,0,0,0,1,0,0
0,0,1,1,-0.9965988082668935,1,0,0,0,0,0,0,0,1,-1.4988203792261565,-0.9421212939258937,-1.5446293671530682,0,1,0,1,0,0,1,0,0,0,0,0
0,1,0,0,-0.6702894496756475,1,1,1,0,0,0,0,0,1,-0.3591845419387466,-0.6158521099887356,-0.3104908143451992,0,0,0,0,0,1,0,1,0,0,0,0
0,0,0,0,-0.915021468619082,1,1,1,0,0,0,1,1,1,1.124837599463253,-0.5788260071510396,1.073616908021733,1,0,0,0,0,1,0,0,0,0,0,1
0,1,1,0,-0.3439800910844016,1,1,0,0,0,0,1,1,1,0.9534762983820801,-0.01154655857064671,0.9745350671758513,1,0,0,0,0,1,0,1,0,0,0,1
1,0,0,0,1.613876060463074,1,1,1,1,1,1,0,0,0,0.15822676520926007,1.1505237218262192,0.10735606615584248,0,0,0,1,0,0,0,0,0,0,1,0
0,0,0,0,-0.9965988082668935,1,0,0,0,0,0,0,0,0,-1.4655463401812687,-0.9355071354961331,-1.482280306328099,0,1,0,1,0,0,1,0,0,0,0,0
1,0,1,1,-1.2413308272103278,1,0,1,1,0,1,0,0,0,-0.17950473109635212,-0.9491969052693585,0.010575777942849971,0,0,0,1,0,0,1,0,0,0,0,0
0,1,0,0,-1.0373874780907992,1,0,0,1,1,0,1,0,1,0.0018387816982869288,-0.7896001189725118,0.18528335037313962,0,0,0,0,0,1,0,0,0,0,0,0
1,0,0,0,-1.2413308272103278,1,0,0,0,1,0,1,1,1,1.0300065881853222,-0.9196639187922883,1.1241590038399805,1,0,0,0,0,1,0,0,0,0,0,1
1,0,0,0,-1.2821194970342338,1,1,0,0,0,0,0,0,1,-0.49061699616605386,-0.9845090401418674,-0.48987382655258677,0,0,0,0,0,1,0,0,0,0,0,0
1,0,1,1,1.5730873906391682,1,1,0,0,0,0,0,0,0,-1.3640605210943606,-0.29178032087874056,-1.3927696828116096,0,1,0,1,1,0,0,0,0,0,1,0
1,0,0,0,-1.2005421573864221,1,0,0,0,0,0,0,0,1,0.1565630632570153,-0.9154009728275919,0.13927860117401658,1,0,0,0,0,0,1,0,0,0,0,0
0,0,0,0,-1.2821194970342338,1,0,0,0,0,0,0,0,0,-1.5237759085098224,-0.9981548620185495,-1.5189440397700242,0,1,0,0,0,0,1,0,0,0,0,0
0,1,1,0,0.2270612864502788,1,1,1,1,0,0,0,1,0,1.0017236549971675,0.5717299243514924,0.9802077887441776,1,0,1,0,1,0,0,0,1,0,0,0
0,0,0,0,0.2270612864502788,1,0,0,0,0,0,0,0,0,-1.492165571417179,-0.7084942759019265,-1.5604592038933822,0,1,1,0,0,0,1,0,1,0,0,0
0,0,0,0,1.5730873906391682,1,1,1,1,1,0,1,1,1,1.3926936137746002,2.1942862647286305,1.2478126744218678,1,0,0,1,1,0,0,0,0,0,1,0
1,0,1,1,1.5730873906391682,1,1,1,1,1,1,1,1,0,0.8320260558682396,1.8312326913847643,0.862194338190471,0,0,0,1,1,0,0,0,0,0,1,0
0,0,0,0,-1.2821194970342338,1,0,0,0,0,0,0,0,0,-1.4638826382290244,-0.9973637998807707,-1.4592877955255352,0,1,0,0,0,0,1,0,0,0,0,0
0,1,0,0,-1.2005421573864221,1,1,0,1,0,0,0,0,1,0.4826486458969169,-0.9164337483963585,0.113317087475026,1,0,0,0,0,1,0,0,0,0,0,1
0,0,1,0,1.3283553716957337,1,0,0,0,0,0,0,0,0,-1.5154573987486004,-0.4264586498355591,-1.4789437631804503,0,1,0,1,0,0,0,0,0,0,1,0
